1; ;;;;;;;;;;;;;;;;;40;40;40;40;40;;;;;;;;;;;;;;;
2; ;;;;;;;;;;;;;;;;40;40;40;40;40;40;;;;;;;;;;;;;;;
3; ;;;;;;;;;;;;;;;40;40;40;40;40;40;40;;;;;;;;;;;;;;;
4; ;;;;;;;;;;;;;;;40;40;40;40;40;40;40;;;;;;;;;;;;;;;
5; ;;;;;;;;;;;;;40;40;40;40;40;40;40;40;40;;;;;;;;;;;;;;;
6; ;;;;;;;;;;40;40;40;40;40;40;40;40;40;40;40;40;;;;;;;;;;;;;;;
7; ;;;;;;;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;;;;;;;;;;;;;;;
 ; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30; ; ; ; ; ; ; ; ; ;;;;;;;;;
9;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;;;;;;;;;;;;;;;;;;;
10;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;;;;;;;;;;;;;;;;;;;;
11;30;30;30;30;30;30;30;30;30;30;30;;;;;;;;;;;;;;;;;;;;;;;;;;
12;30;30;30;30;30;30;30;30;30;30;30;30;;;;;;;;;;;;;;;;;;;;;;;;;
13;30;30;30;30;30;30;30;30;30;30;30;30;;;;;;;;;;;;;;;;;;;;;;;;;
14;30;30;30;30;30;30;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;; ;  ; ;;;;;;;;;;;;;;;;;;;3;2;1
;;;;;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;
